chr_physbin	Chr.x	Species.x	physbin	rate	physbinnum.x	gene_num	Chr.y	physbinnum.y	Species.y
I (0.5,0.51]	I	C. briggsae	(0.5,0.51]	-1.10902833613012e-14	51	36	I	51	C. briggsae
I (0.51,0.52]	I	C. briggsae	(0.51,0.52]	-1.10902833613013e-14	52	56	I	52	C. briggsae
I (0.52,0.53]	I	C. briggsae	(0.52,0.53]	0.891693144535131	53	35	I	53	C. briggsae
I (0.53,0.54]	I	C. briggsae	(0.53,0.54]	6.64155828362841e-15	54	56	I	54	C. briggsae
I (0.54,0.55]	I	C. briggsae	(0.54,0.55]	6.6415582836285e-15	55	16	I	55	C. briggsae
I (0.55,0.56]	I	C. briggsae	(0.55,0.56]	8.03323139502798e-08	56	57	I	56	C. briggsae
I (0.56,0.57]	I	C. briggsae	(0.56,0.57]	-8.81803564231974e-15	57	26	I	57	C. briggsae
I (0.57,0.58]	I	C. briggsae	(0.57,0.58]	-8.81803564231974e-15	58	47	I	58	C. briggsae
I (0.58,0.59]	I	C. briggsae	(0.58,0.59]	-8.81803564231951e-15	59	26	I	59	C. briggsae
I (0.59,0.6]	I	C. briggsae	(0.59,0.6]	-8.81803564231928e-15	60	60	I	60	C. briggsae
I (0.6,0.61]	I	C. briggsae	(0.6,0.61]	-8.81803564231975e-15	61	30	I	61	C. briggsae
I (0.61,0.62]	I	C. briggsae	(0.61,0.62]	-8.81803564231988e-15	62	60	I	62	C. briggsae
I (0.62,0.63]	I	C. briggsae	(0.62,0.63]	-8.81803564231982e-15	63	53	I	63	C. briggsae
I (0.63,0.64]	I	C. briggsae	(0.63,0.64]	-8.81803564231976e-15	64	41	I	64	C. briggsae
I (0.64,0.65]	I	C. briggsae	(0.64,0.65]	-8.81803564231971e-15	65	49	I	65	C. briggsae
I (0.65,0.66]	I	C. briggsae	(0.65,0.66]	-8.81803564231966e-15	66	36	I	66	C. briggsae
I (0.66,0.67]	I	C. briggsae	(0.66,0.67]	0.67128991806412	67	51	I	67	C. briggsae
I (0.67,0.68]	I	C. briggsae	(0.67,0.68]	6.59600924189986e-08	68	23	I	68	C. briggsae
I (0.68,0.69]	I	C. briggsae	(0.68,0.69]	-3.41905881673587e-15	69	31	I	69	C. briggsae
I (0.69,0.7]	I	C. briggsae	(0.69,0.7]	1.31981096055641	70	25	I	70	C. briggsae
I (0.7,0.71]	I	C. briggsae	(0.7,0.71]	1.09110096001723	71	55	I	71	C. briggsae
I (0.71,0.72]	I	C. briggsae	(0.71,0.72]	6.42414160455295	72	26	I	72	C. briggsae
I (0.72,0.73]	I	C. briggsae	(0.72,0.73]	-1.84789030321549e-14	73	33	I	73	C. briggsae
I (0.73,0.74]	I	C. briggsae	(0.73,0.74]	3.53406162133284	74	27	I	74	C. briggsae
I (0.74,0.75]	I	C. briggsae	(0.74,0.75]	2.37002036256813	75	51	I	75	C. briggsae
I (0.75,0.76]	I	C. briggsae	(0.75,0.76]	1.03301162447185	76	40	I	76	C. briggsae
I (0.76,0.77]	I	C. briggsae	(0.76,0.77]	1.76517480725239	77	18	I	77	C. briggsae
I (0.77,0.78]	I	C. briggsae	(0.77,0.78]	0.479719750309787	78	48	I	78	C. briggsae
I (0.78,0.79]	I	C. briggsae	(0.78,0.79]	0.567318784643797	79	21	I	79	C. briggsae
I (0.79,0.8]	I	C. briggsae	(0.79,0.8]	3.08837616641457	80	34	I	80	C. briggsae
I (0.8,0.81]	I	C. briggsae	(0.8,0.81]	1.44145702842186	81	26	I	81	C. briggsae
I (0.81,0.82]	I	C. briggsae	(0.81,0.82]	5.08294770918705	82	30	I	82	C. briggsae
I (0.82,0.83]	I	C. briggsae	(0.82,0.83]	2.57108444548646	83	19	I	83	C. briggsae
I (0.83,0.84]	I	C. briggsae	(0.83,0.84]	1.72296917700948	84	46	I	84	C. briggsae
I (0.84,0.85]	I	C. briggsae	(0.84,0.85]	2.41348184431154	85	32	I	85	C. briggsae
I (0.85,0.86]	I	C. briggsae	(0.85,0.86]	5.22992546935185	86	42	I	86	C. briggsae
I (0.86,0.87]	I	C. briggsae	(0.86,0.87]	3.53300193750634	87	13	I	87	C. briggsae
I (0.87,0.88]	I	C. briggsae	(0.87,0.88]	1.97458827002378	88	26	I	88	C. briggsae
I (0.88,0.89]	I	C. briggsae	(0.88,0.89]	1.70056354377588	89	26	I	89	C. briggsae
I (0.89,0.9]	I	C. briggsae	(0.89,0.9]	2.50401128934409	90	14	I	90	C. briggsae
I (0.9,0.91]	I	C. briggsae	(0.9,0.91]	1.6328081986593	91	43	I	91	C. briggsae
I (0.91,0.92]	I	C. briggsae	(0.91,0.92]	1.44734927690309	92	8	I	92	C. briggsae
I (0.92,0.93]	I	C. briggsae	(0.92,0.93]	1.40858326159685	93	41	I	93	C. briggsae
I (0.93,0.94]	I	C. briggsae	(0.93,0.94]	0.577779639858275	94	20	I	94	C. briggsae
I (0.94,0.95]	I	C. briggsae	(0.94,0.95]	1.33631750982841	95	45	I	95	C. briggsae
I (0.95,0.96]	I	C. briggsae	(0.95,0.96]	8.78883678996011e-08	96	21	I	96	C. briggsae
I (0.96,0.97]	I	C. briggsae	(0.96,0.97]	0.891700707449347	97	36	I	97	C. briggsae
I (0.97,0.98]	I	C. briggsae	(0.97,0.98]	6.53607791858855e-08	98	21	I	98	C. briggsae
I (0.98,0.99]	I	C. briggsae	(0.98,0.99]	4.954553282381e-15	99	35	I	99	C. briggsae
I (0.99,1]	I	C. briggsae	(0.99,1]	0.199128827669319	100	47	I	100	C. briggsae
II (0,0.01]	II	C. briggsae	(0,0.01]	0	1	60	II	1	C. briggsae
II (0.01,0.02]	II	C. briggsae	(0.01,0.02]	0	2	43	II	2	C. briggsae
II (0.02,0.03]	II	C. briggsae	(0.02,0.03]	0	3	21	II	3	C. briggsae
II (0.03,0.04]	II	C. briggsae	(0.03,0.04]	1.27107646699103	4	31	II	4	C. briggsae
II (0.04,0.05]	II	C. briggsae	(0.04,0.05]	1.06566445554015e-07	5	27	II	5	C. briggsae
II (0.05,0.06]	II	C. briggsae	(0.05,0.06]	3.89444188671214	6	12	II	6	C. briggsae
II (0.06,0.07]	II	C. briggsae	(0.06,0.07]	1.16363654132131	7	29	II	7	C. briggsae
II (0.07,0.08]	II	C. briggsae	(0.07,0.08]	2.63843322913414	8	26	II	8	C. briggsae
II (0.08,0.09]	II	C. briggsae	(0.08,0.09]	0.923175395008087	9	13	II	9	C. briggsae
II (0.09,0.1]	II	C. briggsae	(0.09,0.1]	0.599442691440746	10	39	II	10	C. briggsae
II (0.1,0.11]	II	C. briggsae	(0.1,0.11]	1.29869106202803e-15	11	17	II	11	C. briggsae
II (0.11,0.12]	II	C. briggsae	(0.11,0.12]	1.29869106202804e-15	12	13	II	12	C. briggsae
II (0.12,0.13]	II	C. briggsae	(0.12,0.13]	1.29869106202804e-15	13	26	II	13	C. briggsae
II (0.13,0.14]	II	C. briggsae	(0.13,0.14]	3.4876522859835	14	31	II	14	C. briggsae
II (0.14,0.15]	II	C. briggsae	(0.14,0.15]	3.2584891945311	15	20	II	15	C. briggsae
II (0.15,0.16]	II	C. briggsae	(0.15,0.16]	0.253248837584981	16	38	II	16	C. briggsae
II (0.16,0.17]	II	C. briggsae	(0.16,0.17]	1.32396471728153	17	41	II	17	C. briggsae
II (0.17,0.18]	II	C. briggsae	(0.17,0.18]	0.808284412623605	18	22	II	18	C. briggsae
II (0.18,0.19]	II	C. briggsae	(0.18,0.19]	-9.73462554745206e-15	19	45	II	19	C. briggsae
II (0.19,0.2]	II	C. briggsae	(0.19,0.2]	3.95153416855989	20	39	II	20	C. briggsae
II (0.2,0.21]	II	C. briggsae	(0.2,0.21]	2.14173909032857	21	20	II	21	C. briggsae
II (0.21,0.22]	II	C. briggsae	(0.21,0.22]	1.76180332418695e-15	22	31	II	22	C. briggsae
II (0.22,0.23]	II	C. briggsae	(0.22,0.23]	1.76180332418696e-15	23	53	II	23	C. briggsae
II (0.23,0.24]	II	C. briggsae	(0.23,0.24]	0.822499296018506	24	20	II	24	C. briggsae
II (0.24,0.25]	II	C. briggsae	(0.24,0.25]	1.00560343570919	25	46	II	25	C. briggsae
II (0.25,0.26]	II	C. briggsae	(0.25,0.26]	0.865097495032115	26	47	II	26	C. briggsae
II (0.26,0.27]	II	C. briggsae	(0.26,0.27]	-8.80678996423085e-15	27	23	II	27	C. briggsae
II (0.27,0.28]	II	C. briggsae	(0.27,0.28]	-8.80678996423096e-15	28	44	II	28	C. briggsae
