Species	Chr	physbin	rate	value	category	physbin2
C. remanei	IV	(0.6,0.61]	-1.84632530191439E-14	0.0112683860733826	diversity	0.6
C. remanei	IV	(0.61,0.62]	0.31007223951845	0.0123330064879633	diversity	0.61
C. remanei	IV	(0.62,0.63]	0.37649377309299	0.0134563554095036	diversity	0.62
C. remanei	IV	(0.63,0.64]	0.836275196707493	0.00936087688742164	diversity	0.63
C. remanei	IV	(0.64,0.65]	-7.25286546764753E-15	0.0102764481372166	diversity	0.64
C. remanei	IV	(0.65,0.66]	-1.70133028772375E-15	0.0143637341804287	diversity	0.65
C. remanei	IV	(0.66,0.67]	0.33857354236791	0.0133442670610666	diversity	0.66
C. remanei	IV	(0.67,0.68]	0.591736443076155	0.0138244147879464	diversity	0.67
C. remanei	IV	(0.68,0.69]	0.851888425258115	0.0150162039957821	diversity	0.68
C. remanei	IV	(0.69,0.7]	0.901754897588811	0.0188796657268389	diversity	0.69
C. remanei	IV	(0.7,0.71]	1.05210075534944	0.0173392244768043	diversity	0.7
C. remanei	IV	(0.71,0.72]	0.734509973397294	0.0198497999023447	diversity	0.71
C. remanei	IV	(0.72,0.73]	5.29585768088661	0.0142907785554707	diversity	0.72
C. remanei	IV	(0.73,0.74]	2.98594256818111E-15	0.0198551673625869	diversity	0.73
C. remanei	IV	(0.75,0.76]	0.955648748982648	0.0169963100484269	diversity	0.75
C. remanei	IV	(0.83,0.84]	0.133962688320476	0.0092032226531825	diversity	0.83
C. remanei	IV	(0.89,0.9]	1.05932372203723	0.0188607638376496	diversity	0.89
C. remanei	IV	(0.92,0.93]	0.455822579508015	0.0146642447250625	diversity	0.92
C. remanei	IV	(0.94,0.95]	1.38558645955579	0.0130188132893274	diversity	0.94
C. remanei	IV	(0.95,0.96]	2.85366016439704	0.0177546456968175	diversity	0.95
C. remanei	IV	(0.98,0.99]	13.5668635389963	0.0139886007369829	diversity	0.98
C. remanei	IV	(0.99,1]	5.53386652231186	0.0150544158664117	diversity	0.99
C. remanei	V	(0,0.01]	9.64622169579511	0.0142131764879844	diversity	0
C. remanei	V	(0.01,0.02]	0.923640661798329	0.017680307062902	diversity	0.01
