sp	chrom	w	n	norm	theta
tropicalis	I	6680000	28	0.548440065681445	0.000374903779162259
tropicalis	I	6700000	39	0.55008210180624	0.00052218740669029
tropicalis	I	6720000	32	0.551724137931035	0.000428461461899725
tropicalis	I	6740000	36	0.553366174055829	0.00048201914463719
tropicalis	I	6760000	41	0.555008210180624	0.000555433141971981
tropicalis	I	6780000	29	0.556650246305419	0.000388293199846626
tropicalis	I	6800000	35	0.558292282430213	0.000468629723952824
tropicalis	I	6820000	38	0.559934318555008	0.000508797986005923
tropicalis	I	6840000	45	0.561576354679803	0.00060962174118876
tropicalis	I	6860000	40	0.563218390804598	0.000541885992167786
tropicalis	I	6880000	34	0.564860426929393	0.000455240303268458
tropicalis	I	6900000	29	0.566502463054187	0.000388293199846626
tropicalis	I	6920000	25	0.568144499178982	0.00033473551710916
tropicalis	I	6940000	43	0.569786535303777	0.000575745089427755
tropicalis	I	6960000	36	0.571428571428571	0.00048201914463719
tropicalis	I	6980000	30	0.573070607553366	0.000401682620530992
tropicalis	I	7e+06	43	0.574712643678161	0.000575745089427755
tropicalis	I	7020000	27	0.576354679802956	0.000361514358477893
tropicalis	I	7040000	66	0.57799671592775	0.000883701765168182
tropicalis	I	7060000	18	0.579638752052545	0.000241009572318595
tropicalis	I	7080000	33	0.58128078817734	0.000441850882584091
tropicalis	I	7100000	23	0.582922824302135	0.000307956675740427
tropicalis	I	7120000	52	0.584564860426929	0.000696249875587053
tropicalis	I	7140000	47	0.586206896551724	0.000629302772165221
tropicalis	I	7160000	40	0.587848932676519	0.000535576827374656
tropicalis	I	7180000	45	0.589490968801314	0.000602523930796488
tropicalis	I	7200000	35	0.591133004926109	0.000468629723952824
tropicalis	I	7220000	34	0.592775041050903	0.000455240303268458
tropicalis	I	7240000	40	0.594417077175698	0.000535576827374656
tropicalis	I	7260000	72	0.596059113300493	0.000975394785902015
tropicalis	I	7280000	50	0.597701149425287	0.00066947103421832
tropicalis	I	7300000	73	0.599343185550082	0.0010012732067303
